title,question_fr,proof_fr,widget_fr,widget_en,help_fr,renewable
1.1.11,Avez-vous transformé les listes de diffusion postales en listes de diffusion par courriel?,,L'inscription à une infolettre Web plutôt que postale vous a été suggérée.,You have been offered to subscribe to a Web Newsletter instead of one sent by post.,"Afin de réduire l'utilisation du papier et d'optimiser l'utilisation des technologies de l'information, il est pertinent d'envoyer les informations, concours et promotions sous forme d'infolettre, par courriel. Attention toutefois de mentionner qu'il est préférable pour le client de ne pas imprimer l'infolettre de son côté. Un page ou un compte sur les réseaux sociaux peut aussi être envisagé pour la diffusion d'information à la clientèle.",x
1.1.12,"Possédez-vous au moins un appareil multifonction qui imprime recto verso et qui regroupe toutes ces fonctionnalités : télécopieur, numériseur, imprimante et photocopieur?",photo et modèle de l'appareil,"L'établissement possède au moins un appareil multifonction pour l'impression, la numérisation, les télécopies et la photocopie.","The establishment has at least one multi-tasks device for printing, digitization, photocopying and faxing.","Idéalement, l'établissement ne possède qu'un seul appareil et celui-ci est multifonction. Toutefois, il a été constaté que même dans les cas où plusieurs appareils se côtoient dans les bureaux, l'utilisation d'un tel appareil multifonction réduit l'utilisation des appareils à vocation unique, ce qui permet de centraliser les opérations sur un seul dispositif.",x
1.1.13,Avez-vous fixé les paramètres par défaut des imprimantes et photocopieurs en mode recto-verso?,politique d'impression,Les imprimantes et phocopieurs de l'établissement sont en mode impression recto/verso par défaut.,The photocopy and the fax machines have a recto-verso print setting by default.,"L'impression resto/verso est souvent oubliée lors du lancement des impressions. D'en faire une caractéristique par défaut permet de systématiser cette pratique tout en laissant la possibilité de faire des impressions d'un seul côté lorsque nécessaire. Si vous ne savez pas comment mettre le «mode resto/verso» par défaut, essayez un tutoriel sur un site de partage de vidéo en tapant le nom et le modèle de votre appareil ou communiquez avec votre détaillant local.",x
1.1.14,Avez-vous instauré un dispositif pour éteindre les ordinateurs et les écrans lorsqu'ils sont inutilisés?,politique de gestion des équipements informatiques,Les ordinateurs et les écrans de l'établissement s'éteignent automatiquement lorsqu'ils ne sont pas utilisés.,Computers and all screens in the establishment automatically go off when they're not being used.,"Cette mesure permet de sauver une quantité considérable d'énergie. Elle permet de s'assurer d'en tirer le meilleur parti tout en augmentant leur durée de vie. Si vous ne savez pas comment mettre le «mode veille» par défaut, essayer un tutoriel sur un site de partage de vidéo en tapant le nom et le modèle de votre appareil ou communiquez avec votre détaillant local. Une particularité: chez les appareils considérés écoénergétiques, certains sont efficaces énergétiquement seulement lorsqu'ils sont en «mode veille».",x
1.1.15,Utilisez-vous des véhicules hybrides?,photo du véhicule,L'établissement utilise des véhicules hybrides.,The establishment uses hybrid cars.,"Que ce soit pour les courses ou le transport des personnes, utiliser des véhicules hybrides réduit l'impact environnemental du transport.Évidemment, il est préférable d'attendre que des véhicules doivent être remplacés pour se procurer un véhicule hybride. Avant d'effectuer un achat, il est préférable de mettre en pratique la pensée des 3 RV (réduire, réutiliser, recycler et valoriser).",x
1.1.16,Utilisez-vous des véhicules électriques?,photo du véhicule,L'établissement utilise des véhicules électriques.,The establishment uses electric cars.,"Que ce soit pour les courses ou le transport des personnes, utiliser des véhicules électriques réduit considérablement l'impact environnemental du transport.Évidemment, il est préférable d'attendre que des véhicules doivent être remplacés pour se procurer un véhicule électrique. Avant d'effectuer un achat, il est préférable de mettre en pratique la pensée des 3 RV (réduire, réutiliser, recycler et valoriser).",x
1.1.17,Concevoir des documents / objets promotionnels recyclables ou compostables.,photo et descriptions des documents,L'établissement utilise des supports compostables ou recyclables pour la conception de documents ou d'objets promotionnels,The establishment uses compostable or recyclable materials to produce documents or promotional item.,"Lors de la conception et la fabrication d'objets ou de documents promotionnels, il est préférable d'utiliser des supports recyclables, composé d'éléments recyclés ou simplement compostables. Aujourd'hui, plusieurs alternatives sont disponibles au Québec sans qu'elles soient nécessairement plus chères. Pour toute information sur les matières résiduelles, le site internet de Recyc-québec est une bonne source (www.recyc-quebec.gouv.qc.ca).",x
1.1.18,Disposez-vous correctement des produits visés par la responsabilité élargie des producteurs (REP)?,inscription au registre d'Écoentreprises Québec,"L'établissement dispose adéquatement des ordinateurs et de tout matériel informatique, des piles, des ampoules et des fluorescents, lorsqu'ils doivent être remplacés.","The establishment disposes adequately of computers and of all hardware, of batteries and fluorescents, when they have to be replaced.",La responsabilité élargie des producteurs (REP) est une approche qui vise à transférer la responsabilité de la gestion des matières résiduelles engendrées par la consommation de divers produits aux entreprises qui sont à l’origine de leur mise en marché sur un territoire donné. Pour plus d'information et sur les produits visés par la REP voir le site de Recyc-Québec: (www.recyc-quebec.gouv.qc.ca),x
10.1.1,"Dans les secteurs réservés aux employés, avez-vous équipé le système de chauffage de thermostats électroniques?",Photo du système de contrôle,L'établissement a installé des thermostats électroniques dans les secteurs réservés aux employés.,The establishment has installed electronic Thermostats in the area reserved for the staff.,"La programmation de thermostats électroniques (individuels ou programmés par le système de gestion énergétique) est un moyen efficace pour assurer un contrôle du chauffage dans l'établissement. De conserver la température entre 21 °C l'hiver et à plus de 23 °C l'été optimise l'énergie pour chauffer les salles de réunion. Pour plus d'information, consulter le site d'Hydro-québec www.hydroquebec.com",
10.1.2,"Dans les secteurs réservés aux employés (garage, entrepôts, etc.), utilisez-vous de la peinture recyclée?",Facture d'achat ou photo des pots de peinture,L'établissement a utilisé de la peinture recyclée dans les secteurs réservés aux employés.,The establishment has used recycled paint in the area reserved for the staff.,"Fruit d'un ambitieux programme de récupération des restes de pots de peinture, la peinture recyclée au Québec est une alternative intéressante au niveau économique et environnemental. Elle est disponible dans plusieurs points de vente dans la province.",
11.1.1,Confiez-vous l'huile de cuisson à une entreprise qui la recycle?,Facture du recycleur et photo des barils de récupération,L'établissement récupère l'huile de cuisson des cuisines et la confie à une entreprise de recyclage.,The establishment collects used cooking oil and gives it to a recycling company.,"L'huile de cuisson est une matière qui est facilement récupérable et valorisable au Québec. En effet, l'huile de cuisson usagée entre dans la fabrication de plusieurs produits d'usage courant tel que des combustibles pour les voitures. Plusieurs recycleurs viennent chercher votre huile et vous fournissent les contenants pour l'entreposer.",
11.1.2,Compostez-vous les déchets organiques végétaux produits par l'établissement?,Photo du système mis en place en cuisine,L'établissement composte ses résidus végétaux.,The establishment composts the vegetal waste.,"La récupération des matières végétales produites par l'établissement est une alternative à valeur économique et environnementale. En effet, en plus de diminuer grandement la production de déchets ultimes (donc les levées de conteneurs), la production de compost permet aussi de réduire l'achat de fertilisant pour les plantes intérieures ou extérieures. La production de compost diminue aussi le transport et la production de gaz à effet de serre de par la décomposition aérobique (qui inclut l'oxygène).",
11.1.3,Donnez-vous les surplus de nourriture à des organismes de bienfaisance?,Copie de l'entente avec les organismes et photo du système mis en place,L'établissement donne les surplus de nourriture à des organismes d'aide aux démunis.,,"Outre le fait d'être responsable de ses propres décisions et activités, un établissement peut, dans certaines situations, avoir la capacité d'influencer et d'améliorer le comportement des organisations/parties avec lesquelles elle a des relations. Ces situations sont considérées comme faisant partie de la sphère d'influence d'une organisation. Le don de nourriture est la première étape vers la formalisation d'un partenariat avec des organismes d'aide aux plus démunis.",
11.1.4,Achetez-vous des condiments en vrac ou en grand format au lieu des condiments emballés individuellement?,Photo des condiments dans leurs emballages et en salle à manger,L'établissement utilise des contenants grand format pour les condiments plutôt que des emballages individuels.,The establishment buys condiments in large size containers instead of individual packages.,"L'utilisation des contenants grands formats permet de réduire les emballages tout en s'assurant que la quantité qui est servie répond au besoins du client. En effet, utiliser des contenants grands formats et les servir dans des petits contenants réutilisables pour le service une fois dans l'établissement permet de diminuer la quantité utilisée.Cela permet aussi de diminuer le transport es matières.",
11.1.5,Achetez-vous des produits provenant de producteurs de la région touristique de l'établissement?,Facture des fournisseurs locaux,L'établissement achète des produits locaux (moins de 100 km de l'établissement).,The establishment buys local products (less than 100 km).,"Utiliser des produits locaux favorise l'entrepreneuriat dans la communauté, diminue le chômage et réduit les besoins de transport de marchandises. Cela contribue au développement des communautés et au partage plus équitable des richesses.",
11.1.6,Achetez-vous des aliments certifiés Aliments du Québec et Aliments préparés du Québec?,Photo des produits avec la marque de certification,L'établissement achète des produits certifiés Aliments du Québec ou aliments fabriqués au Québec.,The establishement buys products certified ''Aliments du Québec'' or made in Quebec.,"Utiliser des produits dont la provenance est certifiée au Québec favorise l'entrepreneuriat dans la communauté, diminue le chômage et réduit les besoins de transport de marchandises. Cela contribue au développement des communautés et au partage plus équitable des richesses.",
11.1.7,Achetez-vous des aliments certifiés biologiques?,Photo des produits avec la marque de certification,L'établissement achète des produits certifiés biologiques.,The establishment buys organic certified products.,Utiliser des produits certifiés biologiques favorise les bonnes pratiques de cultures et de prélèvement des ressources. Certains produits québécois sont aussi biologiques.,
11.1.8,Achetez-vous des aliments certifiés équitables?,Photo des produits avec la marque de certification,L'établissement achète des produits certifiés équitables.,The establishment buys Fairtrade certified products.,"L'utilisation de produits certifiés équitables assure que les meilleures pratiques de cultures ont été respectées. De plus, la certification assure que tous les maillons de la chaine de production ont été rémunérés de manière équitable en fonction de leur travail et de leurs efforts. La certification équitable participe à une meilleure distribution de la richesse.",
11.2.1,Utilisez-vous des serviettes de table en tissu lavables?,Photo des serviettes sur les tables,L'établissement utilise des serviettes de table lavables.,The establishment uses washable table napkins.,Les tissus lavables utilisent moins d'eau et de matières pour les produire et les entretenir que les serviettes jetables tout en étant moins couteux.,
11.2.2,Avez-vous éliminé l'utilisation de nappes ou de toiles cirées sur les tables?,Photo des tables utilisées dans les aires communes,L'établissement met en valeur les tables avec une belle surface en n'utilisant pas de nappes.,The establishment highlights he beautiful table tops by not using tablecloths.,"Les tables avec une belle surface devraient être priorisées dans les établissements. En effet, cela permet de ne pas utiliser de nappes et donc de réduire la manipulation et le lavage donc l'utilisation d'eau et de produits nettoyants.",
11.2.4,Utilisez-vous une hotte de cuisine à intensité variable?,Photo de la hotte et des différents niveaux d'intensité,L'établissement utilise des hottes de cuisine à intensité variable dans les cuisines.,The establishment uses variable intensity range-hoods in the kitchens.,Les hottes à intensité variables permettent d'ajuster le niveau d'aspiration nécessaire et ajusté aux activités de la cuisine. Les hottes à intensité variables favorisent grandement l'économie d'énergie.,
12.1.1,Avez-vous installé une toile thermique pour recouvrir les piscines lorsqu’elles ne sont pas utilisées?,Photo de la piscine couverte,L'établissement recouvre les piscines d'une toile thermique lors que non utilisées.,The establishment covers the swimming pools with a thermal cover when not in use.,"L'utilisation d'une toile thermique pour les piscines empêche la perte de chaleur et l'évaporation de l'eau. En réduisant l'évaporation, qui compte pour pas moins de 70 % des pertes de chaleur, une toile solaire effectue le plus gros de son travail.Cela réduit la demande en chauffage et en remplissage de l'eau de piscine.",
12.1.10,Fertilisez-vous les plantes avec du compost produit par l'établissement?,,L'établissement fertilise avec le compost qu'il a produit.,The establishment uses its own compost to fertilize the grounds.,Utiliser son propre compost réduit l'émission de gaz à effet de serre par la décomposition aérobique (avec apport d'oxygène) et par la diminution du transport des marchandises.,
12.1.11,Procédez-vous à la décontamination et à la réhabilitation de zones contaminées du terrain?,,L'établissement procède à la réhabilitation de zones peu invitantes de son terrain.,The establishment rehabilitates the less inviting area of its grounds.,Réhabiliter et décontaminer les zones contaminées diminue les risques sur la santé et sur l'environnement.,
12.1.12,Avez-vous banni l'utilisation d'eau potable pour le nettoyage des surfaces et la gestion des poussières à l'extérieur?,copie de la procédure de nettoyage des surfaces extérieures,"À l'extérieur, l'établissement n'utilise pas d'eau potable pour le nettoyage des surfaces et pour la gestion des poussières.","Outside, the establishment doesn't use drinking water for cleaning surfaces or for dust management.","La réduction de la consommation d'eau potable est primordiale pour la survie de l'humanité. Puisque le Québec possède une partie significative de l'eau potable, nous devons donner l'exemple en terme de son utilisation. Le nettoyage des surfaces et la gestion des poussières durant des travaux est un endroit propice pour réduire la consommation d'eau potable.",
12.1.13,Offrez-vous le service de bornes pour les véhicules électriques?,Photos des bornes,L'établissement offre le service de bornes pour les véhicules électriques.,The establishment offers parking terminals for electric cars.,"Offir le service de bornes pour la recharge de voitures électriques envoi un message clair sur les valeurs de l'établissement. De plus, il est préférable de placer ces bornes dans des espaces réservés près des entrées principales afin de mettre en évidence les utilisateurs de ce type de véhicule.",
12.1.2,Avez-vous installé un système de chauffage d'appoint par rayonnement infrarouge électrique lorsque vous devez réchauffer des espaces extérieurs?,Photo des systèmes de chauffage,L'établissement a installé un chauffage d'appoint par rayonnement infrarouge électrique pour réchauffer les espaces communs extérieurs (terrasses ou autres).,"The establishment has installed a radiating infrared backup heating system to heat up the common area outside (decks, patio, etc.).","Les espaces extérieurs sont des espaces prisés dans les débuts et les fins de saison chaude. Utiliser un chauffage d'appoint permet d'étirer la belle saison pour la clientèle. Toutefois, les solutions de chauffage de sont pas toutes égales. Au Québec, la solution qui consomme le moins d'énergie et une énergie renouvelable est le système par rayonnement infrarouge électrique.",
12.1.3,Avez-vous planté une haie brise-vent pour protéger le bâtiment?,Photo de la haie,L'établissement a planté une haie brise-vent pour protéger le bâtiment.,The establishment has planted a windbreak hedge to protect the building.,La plantation d'arbres pour former une haie brise-vent permet de réduire l'exposition du bâtiment aux éléments tels que le vent ou l'ensoleillement si les arbres sont proches des bâtiments. Cela permet de réduire la demande en chauffage et en climatisation du bâtiment.,
12.1.4,Récupérez-vous les eaux pluviales?,Photo du système de récupération mis en place,L'établissement récupère les eaux pluviales pour arroser les jardins ou les plantes.,The establishment collects rainwater to water plants and gardens.,"La récupération des eaux pluviales a un effet double: réduire la consommation d'eau potable pour l'arrosage des plantes et diminuer l'apport de l'eau de pluie dans les égouts municipaux. Dans un contexte où les épisodes de pluies intenses ou de canicules répétées, récupérer l'eau pluviale apparait comme une solution évidente.",
12.1.5,Avez-vous recouvert les zones de terre nue avec des éléments permettant de conserver l'humidité?,Photo des aménagements,"L'établissement a recouvert les zones de terres nues avec des éléments naturels (copeaux, couvre-sol, etc.) permettant de conserver l'humidité.","The establishment covers the patches of naked soil with natural materials (wood chips, ground-covert etc.).","Votre aménagiste paysager vous le dira, recouvrir la terre nue de copeaux, paillis opu autres couvres sols permet de grader l'humidité dans le sol, prévient la prolifération de mauvaises herbes et diminue l'entretien des plates-bandes.",
12.1.6,Avez-vous installé un système d'arrosage par goutte-à-goutte ou microarrosage?,Photo du système d'arrosage mis en place,L'établissement a installé un système d'arrosage par goutte-à-goutte ou microarrosage.,The establishment has installed a irigation drip system as wel as a microwatering system.,Le système d'arrosage goutte à goutte est sas nul doute le plus efficace puis qu'il n'y a quasiment aucune perte d'eau due aux trop grandes surfaces à arroser ou à l'évaporation lors de l'arrosage.,
12.1.7,Avez-vous installé un détecteur d’humidité à votre système d’arrosage automatisé afin d’éviter l’arrosage lorsque le sol est déjà humide?,Photo du détecteur d'humidité,L'établissement a installé un détecteur d’humidité au système d’arrosage automatisé.,The establishment has installed a humidity sensor with the automatic watering system.,Contrôler l'humidité permet d'arroser uniquement lorsque le sol en a besoin. Cela diminue la quantité d'eau nécessaire à l'arrosage des plantes.,
12.1.8,"Avez-vous installé un système d'arrosage automatisé permettant d'arroser les pelouses et jardins tôt le matin, tard le soir ou pendant la nuit?",Copie de la Politique d'arrosage ou photo du minuteur du système d'arrosage,"L'établissement a installé un système d'arrosage automatisé permettant d'arroser les pelouses et jardins tôt le matin, tard le soir ou pendant la nuit","The establishment has installed an automatic watering system to water the grounds early in the morning, late at night or during the night.",Déjà plusieurs municipalités ont des horaires précis d'arrosage durant la saison chaude afin de réduire la demande ponctuelle en eau potable. Arroser durant la soirée et la nuit permet d'utiliser moins d'eau puisque cela réduit l'évaporation.,
12.1.9,Utilisez-vous uniquement des fertilisants naturels?,Facture des achats et photo des fertilisants,L'établissement n'utilise que des fertilisants naturels.,The establishement uses only natural fertilizers.,L'utilisation de fertilisants naturels pour les plantes autant que pour les espaces gazonnés réduit la demande en matière chimique.,
13.1.1,Avez-vous une innovation correspondant à une bonne pratique de développement durable que vous avez instauré et qui n’était pas incluse dans ce questionnaire?,document décrivant la bonne pratique de développement durable et photo à l'appui si nécessaire,,,"Rester à l'affut des nouveautés et de l'innovation est une attitude qui est encouragée par le développement durable. Consulter vos employés pour trouver des solutions nouvelles aux problèmes que vous rencontrez, cela vous permettra de développer une sentiment d'appartenance de votre personnel tout en puisant dans leur expérience pour trouver des solutions inusitées.",
13.1.2,Avez-vous une innovation correspondant à une bonne pratique de développement durable que vous avez instauré et qui n’était pas incluse dans ce questionnaire?,document décrivant la bonne pratique de développement durable et photo à l'appui si nécessaire,,,"Rester à l'affut des nouveautés et de l'innovation est une attitude qui est encouragée par le développement durable. Consulter vos employés pour trouver des solutions nouvelles aux problèmes que vous rencontrez, cela vous permettra de développer une sentiment d'appartenance de votre personnel tout en puisant dans leur expérience pour trouver des solutions inusitées.",
13.1.3,Avez-vous une innovation correspondant à une bonne pratique de développement durable que vous avez instauré et qui n’était pas incluse dans ce questionnaire?,document décrivant la bonne pratique de développement durable et photo à l'appui si nécessaire,,,"Rester à l'affut des nouveautés et de l'innovation est une attitude qui est encouragée par le développement durable. Consulter vos employés pour trouver des solutions nouvelles aux problèmes que vous rencontrez, cela vous permettra de développer une sentiment d'appartenance de votre personnel tout en puisant dans leur expérience pour trouver des solutions inusitées.",
2.1.1,Avez-vous un programme incitatif pour encourager les employés à utiliser les transports actifs?,document présentant le programme,L'établissement a un programme qui incite les employés à utiliser les transports actifs.,The establishment offers a program that promotes the use of active transportation by its employees.,"Plusieurs études le démontrent: un employé en santé est un employé plus productif, qui utilise moins de jours de maladie et qui ne souffre pas de présentéisme (être présent au travail, mais inefficace). Ainsi, que l'établissement favorise les transports actifs pour ses employés permet de ne pas utiliser de places de stationnement tout en étant un bon moyen de favoriser la santé et de s'assurer d'une productivité constante. Pour ce faire, plusieurs solutions sont possibles pour inciter les employés à utiliser les transports actifs, notamment, un système de pointage qui offre des points lorsque les employés utilisent le transport actif pour se rendre et repartir du travail, un tirage périodique parmi ceux et celles qui utilisent les transports actifs, rembourser une partie des frais de transport en commun, dédier des places de stationnement au covoiturage, installer des abris/supports à vélo sécuritaires et des douches, etc.",x
2.1.2,Avez-vous installé des stationnements à vélos couverts et sécuritaires pour les employés se déplaçant à vélo?,photo des équipements,L'établissement a installé des stationnements à vélos couverts et sécuritaires.,The establishment offers a secure and covered bicycle parking space.,"Plusieurs études le démontrent: un employé en santé est un employé plus productif, qui utilise moins de jours de maladie et qui ne souffre pas de présentéisme (être présent au travail, mais inefficace). Ainsi, que l'établissement favorise les transports actifs pour ses employés permet de ne pas utiliser de places de stationnement tout en étant un bon moyen de favoriser la santé et de s'assurer d'une productivité constante. Pour ce faire, plusieurs solutions sont possibles pour inciter les employés à utiliser les transports actifs, notamment, un système de pointage qui offre des points lorsque les employés utilisent le transport actif pour se rendre et repartir du travail, un tirage périodique parmi ceux et celles qui utilisent les transports actifs, rembourser une partie des frais de transport en commun, dédier des places de stationnement au covoiturage, installer des abris/supports à vélo sécuritaires et des douches, etc.",x
2.1.3,Avez-vous installé des vestiaires avec douches pour les employés?,photo des équipements,L'établissement a installé des vestiaires avec des douches pour les employés.,The establishment procures a locker room with showers to its employees.,"Plusieurs études le démontrent: un employé en santé est un employé plus productif, qui utilise moins de jours de maladie et qui ne souffre pas de présentéisme (être présent au travail, mais inefficace). Ainsi, que l'établissement favorise les transports actifs pour ses employés permet de ne pas utiliser de places de stationnement tout en étant un bon moyen de favoriser la santé et de s'assurer d'une productivité constante. Pour ce faire, plusieurs solutions sont possibles pour inciter les employés à utiliser les transports actifs, notamment, un système de pointage qui offre des points lorsque les employés utilisent le transport actif pour se rendre et repartir du travail, un tirage périodique parmi ceux et celles qui utilisent les transports actifs, rembourser une partie des frais de transport en commun, dédier des places de stationnement au covoiturage, installer des abris/supports à vélo sécuritaires et des douches, etc.",
2.1.4,Organisez-vous des activités sociales pour les employés au moins une fois par an?,liste des activités ou photo,L'établissement organise au moins une activité sociale par année pour les employés.,,"Pour combattre les comportements de repli ou les relations tendues au travail, rien de tel qu’une activité commune et conviviale. Les idées varient selon les préférences de chacun. Un verre après le travail pour bavarder avant de rentrer chez soi. Un déjeuner d’équipe dans un endroit agréable pour changer d’air. Une sortie familiale avec les collègues dans un site enchanteur. Une activité sportive suscitant une saine émulation. Une activité culturelle pour se ressourcer. Une journée ou une soirée à thème pour dynamiser l’équipe et sortir du quotidien. Il n’y a pas de recettes uniques. Mais l’interdiction de parler travail et l’esprit de convivialité comptent dans le résultat recherché. Les tensions entre collègues se dénouent. Les difficultés au bureau sont relativisées. Les échanges interpersonnels se font plus facilement et deviennent plus harmonieux. Un exemple d’antidote au stress? Réserver une salle de réunion et rassembler tous les employés intéressés à voir la finale de la coupe Stanley ou une épreuve des Jeux olympiques. Soutenir ensemble une même équipe contribue à créer une synergie entre collègues. Autre avantage : la productivité n’en devient que meilleure. Source: (www.affairesrh.ca)",x
2.2.1,Avez-vous rédigé et diffusé aux employés une politique concernant l'aménagement des horaires de travail des employés dans une des situations suivantes : un employé ayant une personne non autonome à charge ou un employé nécessitant un traitement récurrent ou un programme de conciliation travail-famille?,copie de la politique,L'établissement des politiques sur les horaires de travail pour les employés recevant des traitements médicaux récurrents ou ayant une personne à charge ou un programme de conciliation travail-famille.,"The establishment has policies on work schedules for employees receiving regular medical treatments, those with a dependant and for reconciliation of work and family life.","Tous les parents qui travaillent le savent : les responsabilités professionnelles et familiales ne sont pas toujours facilement conciliables. Comme le font ressortir les enquêtes et les études sur la question, les parents, les mères surtout, se disent constamment pressés par le temps, alors qu'ils tentent de tout concilier. Et cette situation est particulièrement vraie dans les cas où des traitements sont nécessaires pour l'employé ou une personne à sa charge. Source: (www.mfa.gouv.qc.ca/fr/Famille/travail-famille/Citoyens/Pages/index.aspx)",x
2.2.10,"Avez-vous rédigé et mis en place un plan d'urgence (évacuation, premier secours, agression), révisé annuellement et adapté à tous les types de clientèles?",copie du plan,L'établissement possède un plan d'urgence révisé annuellement.,"The establishment has an emergency plan, revised yearly.","L'établissement devrait posséder un plan d'urgence afin d'assurer la sécurité des employés et de la clientèle lors d'accidents ou d'évènements majeurs. En cas de feu, d'inondation, d'éclosion de maladies infectieuses, de malaises physiques, d'agression, ou de situation familiale à haut risque, l'établissement devrait avoir un plan d'urgence pour l'ensemble de ces situations et le faire connaitre aux employés. Des plans de formations pour se sensibiliser aux symptômes précurseurs de ces situations sont accessibles au Québec.",x
2.2.11,Avez-vous rédigé et mis en disponibilité aux employés un organigramme montrant les relations d'autorité entre les postes et les responsabilités?,copie de l'organigramme et photo du lieu de diffusion,"L'établissement communique aux employés, l'organigramme, les rôles et les responsabilités de chacun des postes.","The establishment informs the employees about the organization chart, as well as the roles and responsibilities of each position.","Informer les employés de l'organigramme, des postes et des responsabilités permet de clarifier le fonctionnement de l'établissement et d'éviter plusieurs situations problématiques de gestion des ressources humaines. La meilleure manière de tenir informés les employés est de laisser les informations regroupées dans un secteur qui leur est réservé.",x
